"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.100000001490116","","","0.600000023841858","","","0.800000011920929","","","","","","","0.899999976158142","","","","","","",
"Andorra","AND","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.2999992370605","34","33.0999984741211","33.2000007629395","","","",
"Andean Region","ANR","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","9","","","","","5.59999990463257","","","5.19999980926514","4.59999990463257","","","","",
"Argentina","ARG","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.5","0.400000005960464","0.5","0.600000023841858","0.800000011920929","1.10000002384186","1.10000002384186","1.10000002384186","1.10000002384186","1","1.20000004768372","1.29999995231628","1.70000004768372","1.39999997615814","1.5","1.39999997615814","1.29999995231628","1.79999995231628","1.79999995231628","1.89999997615814","1.79999995231628","0.800000011920929","",
"Armenia","ARM","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.5999984741211","48.2999992370605","48.7999992370605","46.0999984741211","46.2999992370605","43.5","30.7000007629395","34","31.3999996185303","32.7999992370605","","",
"American Samoa","ASM","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.79999995231628","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.09999990463257","4.40000009536743","4.40000009536743","4.40000009536743","4.40000009536743","4.40000009536743","4.40000009536743","4.40000009536743","","","","","",
"Australia","AUS","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","7.80000019073486","7.59999990463257","7.69999980926514","8","7.5","7.30000019073486","7.19999980926514","6.90000009536743","7","6.69999980926514","6.69999980926514","6.59999990463257","6.40000009536743","6.5","6.19999980926514","6","6.19999980926514","6.30000019073486","6","6.09999990463257","6.09999990463257","5.90000009536743","5.5","4.90000009536743","4.59999990463257","4.5","4.30000019073486","4.19999980926514","4.19999980926514","","","","","",
"Austria","AUT","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","8.30000019073486","8.5","8","7.59999990463257","7.69999980926514","7.40000009536743","7.09999990463257","6.80000019073486","6.59999990463257","6.40000009536743","6.19999980926514","6.59999990463257","6.59999990463257","6.40000009536743","6.09999990463257","5.90000009536743","5.59999990463257","5.5","5.30000019073486","5.30000019073486","5.40000009536743","4.80000019073486","5.5","5.40000009536743","5.59999990463257","5.40000009536743","5.40000009536743","5.40000009536743","5.5","5.30000019073486","",
"Azerbaijan","AZE","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.5","36.4000015258789","37.4000015258789","40.9000015258789","40.9000015258789","40.9000015258789","41.0999984741211","41.2999992370605","39.5","36.7999992370605","32.5","32.2999992370605","32","31.7999992370605","",
"Burundi","BDI","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.6999969482422","","","","","","","","","","","","","","","",
"Belgium","BEL","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","3.70000004768372","3.79999995231628","3.79999995231628","3.79999995231628","3.79999995231628","3.70000004768372","3.70000004768372","3.59999990463257","3.59999990463257","3.79999995231628","3.79999995231628","3","3.09999990463257","3.09999990463257","3.40000009536743","3.09999990463257","3.09999990463257","3","2.70000004768372","2.70000004768372","2.40000009536743","1.70000004768372","2.29999995231628","2.20000004768372","2.70000004768372","2.40000009536743","2.5","2.29999995231628","2","1.89999997615814","1.70000004768372","1.60000002384186","1.60000002384186","",
"Benin","BEN","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.0999984741211","","","","","","","","","","",
"Burkina Faso","BFA","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.8000030517578","","82.3000030517578","","","","","","","","",
"Bangladesh","BGD","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","63.5","62.2999992370605","62.2999992370605","","","60.4000015258789","","54.4000015258789","","","","","54.4000015258789","","","","53.2999992370605","","","49.7999992370605","","41.7999992370605","","","","","","","","",
"Bulgaria","BGR","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3000001907349","12","12.8999996185303","13.5","12.6999998092651","10.6000003814697","9.80000019073486","9.10000038146973","8.89999961853027","8.60000038146973","8.19999980926514","8.5","8.39999961853027","",
"Bahrain","BHR","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","3","2.90000009536743","","","","","","","","","2.90000009536743","","","","","","","","","","1.89999997615814","","","1","","","","","","1.29999995231628","","","",
"Bahamas, The","BHS","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","7.80000019073486","","","6.40000009536743","","8.60000038146973","8.60000038146973","9","8.80000019073486","7.30000019073486","8.10000038146973","6","6","6.69999980926514","","6.80000019073486","5.59999990463257","5.30000019073486","8.19999980926514","6.40000009536743","4.40000009536743","4.19999980926514","4.90000009536743","5.09999990463257","","5.59999990463257","","",
"Bosnia and Herzegovina","BIH","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7000007629395","19","19.7000007629395","18.5","17.8999996185303","18.8999996185303","19.2999992370605","",
"Belarus","BLR","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.1000003814697","","","","",
"Belize","BLZ","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","30.8999996185303","36.2000007629395","38.4000015258789","40.2999992370605","34.0999984741211","36.9000015258789","","","","","","28","","","","","","","","",
"Bermuda","BMU","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.40000009536743","2.90000009536743","3.09999990463257","3","3","","","","","","","","","",
"Bolivia","BOL","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","52.0999984741211","52.0999984741211","52.9000015258789","53.9000015258789","53.7999992370605","54.0999984741211","54","54.0999984741211","54","3","1.89999997615814","2.29999995231628","2.70000004768372","2.79999995231628","2.40000009536743","3","6.40000009536743","7","","37","37.9000015258789","42.9000015258789","42.2999992370605","35.4000015258789","35.4000015258789","38.2000007629395","39.5","34.2999992370605","34.0999984741211","31.3999996185303","","","","",
"Brazil","BRA","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","33.5999984741211","34.4000015258789","30.8999996185303","35.0999984741211","33.7000007629395","31.5","29.3999996185303","29.3999996185303","28.1000003814697","28.1000003814697","","30.6000003814697","29.6000003814697","","28.3999996185303","27.3999996185303","26.7999992370605","26","26.7999992370605","","23.6000003814697","23.5","23.8999996185303","24.5","23.7000007629395","22.5","21.5","20.6000003814697","20.5","","18.3999996185303","","",
"Barbados","BRB","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","9.80000019073486","8.69999980926514","8.30000019073486","10.1999998092651","9.39999961853027","8.80000019073486","9","8.69999980926514","6.59999990463257","6.90000009536743","6.40000009536743","8","6.30000019073486","6","5.5","6.09999990463257","6.5","5","5.19999980926514","4.09999990463257","4.80000019073486","4.90000009536743","5.30000019073486","4.19999980926514","","","","","","3.79999995231628","4.30000019073486","3.40000009536743","",
"Brunei Darussalam","BRN","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.20000004768372","","","","","","","","","","2.09999990463257","","","","","","","","","","","","",
"Bhutan","BTN","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71","","32.5999984741211","56.2000007629395","","","59.0999984741211","54","53.2999992370605","48.7000007629395","",
"Botswana","BWA","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","55.2999992370605","","","","","","","","","","","19.6000003814697","","26.2000007629395","","21.8999996185303","16.7999992370605","","28.6000003814697","","","35.0999984741211","","","","","","","",
"Sub-Saharan Africa (IFC classification)","CAA","Employees, agriculture, male (% of male employment)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
