"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Land under cereal production (hectares)","AG.LND.CREL.HA","","3313500","3425500","3426500","3446500","3444500","3446500","3124500","3041500","3081500","3178000","3400000","3923100","3337000","3342000","3404000","3394000","3388000","3392000","3183500","3018500","2909000","2799500","2649000","2562000","2434500","2347000","2496000","2331000","2290000","2253000","2348269","2250000","2627839","2757000","2577011","2690730","2729075","2790534","2530131","2406000","2094000","2238000","3004700","2667000","3030000","2989000","3021000","2714000","3192000","2962000","2820000","3122000","",
"Angola","AGO","Land under cereal production (hectares)","AG.LND.CREL.HA","","657000","654000","645000","644000","603000","609000","632200","653000","721000","632000","649000","658000","718000","721000","721000","726000","713000","712000","709000","704000","700500","699000","695400","688800","685800","899000","956000","1006000","982000","774281","891200","1012042","1202159","955000","735842","794317","790562","868838","872348","890728","939643","1120481","1072095","1435618","1478581","1512092","1485337","1018964","1686804","1711901","1945717","807909","",
"Albania","ALB","Land under cereal production (hectares)","AG.LND.CREL.HA","","347764","332882","298725","342158","323238","328443","332935","323150","322299","327282","312203","331220","339400","334040","328500","350500","357000","356000","365800","372500","361600","357400","350300","350400","343000","349800","345900","347000","348900","321000","215339","189541","247936","262515","227137","205526","212488","210906","177800","178200","165800","157600","153340","143900","147655","140870","132390","149100","146200","145700","147599","142800","",
"Andean Region","ANR","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Land under cereal production (hectares)","AG.LND.CREL.HA","","18584301","19335702","20300188","19962877","19846778","18323303","20784080","20149935","20271727","21401250","19903648","21784102","21422455","22051547","22776328","24418324","22227956","23263857","22086289","22988703","23489576","22694791","23674984","21963384","27775078","26029916","23937943","26634546.5","26154005","26065693","29643317","31237238","28286068","31400104","27216384","31857270","28521838","31484947","26677918","24860609","27716508","26238911","31029617","27254431.5","34716579.6","30508161.6","29937087.5","27232311","29213903.9","27768903.1","29928092","25677196","",
"United Arab Emirates","ARE","Land under cereal production (hectares)","AG.LND.CREL.HA","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","165","350","376","375","890","900","952","970","991","790","673","624","1298","1547","1373","891","567","558","503","58","50","51","56","45","34","6","10","12","10","808.7","957","1381.7","1757.2","1809","1819","",
"Argentina","ARG","Land under cereal production (hectares)","AG.LND.CREL.HA","","10287500","8699220","11468110","12281330","9866080","11122075","12185670","12408430","11884800","11221810","12321590","11702050","11688950","11538000","11780050","13051770","10542300","11425900","11131900","9952900","12377000","14052800","13599000","12337485","11508250","10119555","9631373","8835955","8515784","9014945","8141395","8372540","8844085","9009145","8681595","11145990","10853828","10240115","10453655","11220982","11199198","9825961","9417458","9781250","9019589","9238658","10151021","9407570","6957420","9351880","10904413","10371872","",
"Armenia","ARM","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162767","181430","158077","133512","166633","186100","182500","164834","156585","191331","184869","194816","197983","202111","157554","172629","170005","164014","155666","158838","170272","",
